 frequency       v(Aol_dB)       v(Aol_arg)     
 1.37598551e+00  3.13432973e+01  1.79999973e+02 
 1.40771537e+00  3.13432973e+01  1.79999972e+02 
 1.44017690e+00  3.13432973e+01  1.79999971e+02 
 1.47338699e+00  3.13432973e+01  1.79999971e+02 
 1.50736290e+00  3.13432973e+01  1.79999970e+02 
 1.54212228e+00  3.13432973e+01  1.79999969e+02 
 1.57768320e+00  3.13432973e+01  1.79999969e+02 
 1.61406415e+00  3.13432973e+01  1.79999968e+02 
 1.65128404e+00  3.13432973e+01  1.79999967e+02 
 1.68936220e+00  3.13432973e+01  1.79999966e+02 
 1.72831844e+00  3.13432973e+01  1.79999966e+02 
 1.76817299e+00  3.13432973e+01  1.79999965e+02 
 1.80894658e+00  3.13432973e+01  1.79999964e+02 
 1.85066040e+00  3.13432973e+01  1.79999963e+02 
 1.89333613e+00  3.13432973e+01  1.79999962e+02 
 1.93699595e+00  3.13432973e+01  1.79999961e+02 
 1.98166255e+00  3.13432973e+01  1.79999961e+02 
 2.02735916e+00  3.13432973e+01  1.79999960e+02 
 2.07410951e+00  3.13432973e+01  1.79999959e+02 
 2.12193792e+00  3.13432973e+01  1.79999958e+02 
 2.17086923e+00  3.13432973e+01  1.79999957e+02 
 2.22092889e+00  3.13432973e+01  1.79999956e+02 
 2.27214291e+00  3.13432973e+01  1.79999955e+02 
 2.32453791e+00  3.13432973e+01  1.79999954e+02 
 2.37814113e+00  3.13432973e+01  1.79999953e+02 
 2.43298042e+00  3.13432973e+01  1.79999952e+02 
 2.48908429e+00  3.13432973e+01  1.79999950e+02 
 2.54648190e+00  3.13432973e+01  1.79999949e+02 
 2.60520309e+00  3.13432973e+01  1.79999948e+02 
 2.66527837e+00  3.13432973e+01  1.79999947e+02 
 2.72673897e+00  3.13432973e+01  1.79999946e+02 
 2.78961683e+00  3.13432973e+01  1.79999944e+02 
 2.85394464e+00  3.13432973e+01  1.79999943e+02 
 2.91975583e+00  3.13432973e+01  1.79999942e+02 
 2.98708461e+00  3.13432973e+01  1.79999941e+02 
 3.05596598e+00  3.13432973e+01  1.79999939e+02 
 3.12643573e+00  3.13432973e+01  1.79999938e+02 
 3.19853049e+00  3.13432973e+01  1.79999936e+02 
 3.27228774e+00  3.13432973e+01  1.79999935e+02 
 3.34774581e+00  3.13432973e+01  1.79999933e+02 
 3.42494392e+00  3.13432973e+01  1.79999932e+02 
 3.50392221e+00  3.13432973e+01  1.79999930e+02 
 3.58472171e+00  3.13432973e+01  1.79999929e+02 
 3.66738442e+00  3.13432973e+01  1.79999927e+02 
 3.75195331e+00  3.13432973e+01  1.79999925e+02 
 3.83847234e+00  3.13432973e+01  1.79999924e+02 
 3.92698648e+00  3.13432973e+01  1.79999922e+02 
 4.01754173e+00  3.13432973e+01  1.79999920e+02 
 4.11018515e+00  3.13432973e+01  1.79999918e+02 
 4.20496491e+00  3.13432973e+01  1.79999916e+02 
 4.30193027e+00  3.13432973e+01  1.79999914e+02 
 4.40113162e+00  3.13432973e+01  1.79999912e+02 
 4.50262052e+00  3.13432973e+01  1.79999910e+02 
 4.60644974e+00  3.13432973e+01  1.79999908e+02 
 4.71267322e+00  3.13432973e+01  1.79999906e+02 
 4.82134619e+00  3.13432973e+01  1.79999904e+02 
 4.93252513e+00  3.13432973e+01  1.79999902e+02 
 5.04626783e+00  3.13432973e+01  1.79999900e+02 
 5.16263340e+00  3.13432973e+01  1.79999897e+02 
 5.28168234e+00  3.13432973e+01  1.79999895e+02 
 5.40347650e+00  3.13432973e+01  1.79999892e+02 
 5.52807921e+00  3.13432973e+01  1.79999890e+02 
 5.65555523e+00  3.13432973e+01  1.79999887e+02 
 5.78597080e+00  3.13432973e+01  1.79999885e+02 
 5.91939372e+00  3.13432973e+01  1.79999882e+02 
 6.05589334e+00  3.13432973e+01  1.79999879e+02 
 6.19554061e+00  3.13432973e+01  1.79999877e+02 
 6.33840810e+00  3.13432973e+01  1.79999874e+02 
 6.48457008e+00  3.13432973e+01  1.79999871e+02 
 6.63410251e+00  3.13432973e+01  1.79999868e+02 
 6.78708313e+00  3.13432973e+01  1.79999865e+02 
 6.94359143e+00  3.13432973e+01  1.79999862e+02 
 7.10370877e+00  3.13432973e+01  1.79999859e+02 
 7.26751838e+00  3.13432973e+01  1.79999855e+02 
 7.43510539e+00  3.13432973e+01  1.79999852e+02 
 7.60655691e+00  3.13432973e+01  1.79999849e+02 
 7.78196206e+00  3.13432973e+01  1.79999845e+02 
 7.96141200e+00  3.13432973e+01  1.79999842e+02 
 8.14500001e+00  3.13432973e+01  1.79999838e+02 
 8.33282151e+00  3.13432973e+01  1.79999834e+02 
 8.52497412e+00  3.13432973e+01  1.79999830e+02 
 8.72155772e+00  3.13432973e+01  1.79999826e+02 
 8.92267449e+00  3.13432973e+01  1.79999822e+02 
 9.12842895e+00  3.13432973e+01  1.79999818e+02 
 9.33892805e+00  3.13432973e+01  1.79999814e+02 
 9.55428121e+00  3.13432973e+01  1.79999810e+02 
 9.77460036e+00  3.13432973e+01  1.79999805e+02 
 1.00000000e+01  3.13432973e+01  1.79999801e+02 
 1.02305973e+01  3.13432973e+01  1.79999796e+02 
 1.04665121e+01  3.13432973e+01  1.79999792e+02 
 1.07078670e+01  3.13432973e+01  1.79999787e+02 
 1.09547876e+01  3.13432973e+01  1.79999782e+02 
 1.12074020e+01  3.13432973e+01  1.79999777e+02 
 1.14658417e+01  3.13432973e+01  1.79999772e+02 
 1.17302409e+01  3.13432973e+01  1.79999766e+02 
 1.20007371e+01  3.13432973e+01  1.79999761e+02 
 1.22774708e+01  3.13432973e+01  1.79999756e+02 
 1.25605860e+01  3.13432973e+01  1.79999750e+02 
 1.28502297e+01  3.13432973e+01  1.79999744e+02 
 1.31465525e+01  3.13432973e+01  1.79999738e+02 
 1.34497085e+01  3.13432973e+01  1.79999732e+02 
 1.37598551e+01  3.13432973e+01  1.79999726e+02 
 1.40771537e+01  3.13432973e+01  1.79999720e+02 
 1.44017690e+01  3.13432973e+01  1.79999713e+02 
 1.47338699e+01  3.13432973e+01  1.79999707e+02 
 1.50736290e+01  3.13432973e+01  1.79999700e+02 
 1.54212228e+01  3.13432973e+01  1.79999693e+02 
 1.57768320e+01  3.13432973e+01  1.79999686e+02 
 1.61406415e+01  3.13432973e+01  1.79999679e+02 
 1.65128404e+01  3.13432973e+01  1.79999671e+02 
 1.68936220e+01  3.13432973e+01  1.79999664e+02 
 1.72831844e+01  3.13432973e+01  1.79999656e+02 
 1.76817299e+01  3.13432973e+01  1.79999648e+02 
 1.80894658e+01  3.13432973e+01  1.79999640e+02 
 1.85066040e+01  3.13432973e+01  1.79999632e+02 
 1.89333613e+01  3.13432973e+01  1.79999623e+02 
 1.93699595e+01  3.13432973e+01  1.79999614e+02 
 1.98166255e+01  3.13432973e+01  1.79999606e+02 
 2.02735916e+01  3.13432973e+01  1.79999596e+02 
 2.07410951e+01  3.13432973e+01  1.79999587e+02 
 2.12193792e+01  3.13432973e+01  1.79999578e+02 
 2.17086923e+01  3.13432973e+01  1.79999568e+02 
 2.22092889e+01  3.13432973e+01  1.79999558e+02 
 2.27214291e+01  3.13432973e+01  1.79999548e+02 
 2.32453791e+01  3.13432973e+01  1.79999537e+02 
 2.37814113e+01  3.13432973e+01  1.79999527e+02 
 2.43298042e+01  3.13432973e+01  1.79999516e+02 
 2.48908429e+01  3.13432973e+01  1.79999504e+02 
 2.54648190e+01  3.13432973e+01  1.79999493e+02 
 2.60520309e+01  3.13432973e+01  1.79999481e+02 
 2.66527837e+01  3.13432973e+01  1.79999469e+02 
 2.72673897e+01  3.13432973e+01  1.79999457e+02 
 2.78961683e+01  3.13432973e+01  1.79999445e+02 
 2.85394464e+01  3.13432973e+01  1.79999432e+02 
 2.91975583e+01  3.13432973e+01  1.79999419e+02 
 2.98708461e+01  3.13432973e+01  1.79999405e+02 
 3.05596598e+01  3.13432973e+01  1.79999392e+02 
 3.12643573e+01  3.13432973e+01  1.79999378e+02 
 3.19853049e+01  3.13432973e+01  1.79999363e+02 
 3.27228774e+01  3.13432973e+01  1.79999349e+02 
 3.34774581e+01  3.13432973e+01  1.79999334e+02 
 3.42494392e+01  3.13432973e+01  1.79999318e+02 
 3.50392221e+01  3.13432973e+01  1.79999302e+02 
 3.58472171e+01  3.13432973e+01  1.79999286e+02 
 3.66738442e+01  3.13432973e+01  1.79999270e+02 
 3.75195331e+01  3.13432973e+01  1.79999253e+02 
 3.83847234e+01  3.13432973e+01  1.79999236e+02 
 3.92698648e+01  3.13432973e+01  1.79999218e+02 
 4.01754173e+01  3.13432973e+01  1.79999200e+02 
 4.11018515e+01  3.13432973e+01  1.79999182e+02 
 4.20496491e+01  3.13432973e+01  1.79999163e+02 
 4.30193027e+01  3.13432973e+01  1.79999144e+02 
 4.40113162e+01  3.13432973e+01  1.79999124e+02 
 4.50262052e+01  3.13432973e+01  1.79999104e+02 
 4.60644974e+01  3.13432973e+01  1.79999083e+02 
 4.71267322e+01  3.13432973e+01  1.79999062e+02 
 4.82134619e+01  3.13432973e+01  1.79999040e+02 
 4.93252513e+01  3.13432973e+01  1.79999018e+02 
 5.04626783e+01  3.13432973e+01  1.79998995e+02 
 5.16263340e+01  3.13432973e+01  1.79998972e+02 
 5.28168234e+01  3.13432973e+01  1.79998949e+02 
 5.40347650e+01  3.13432973e+01  1.79998924e+02 
 5.52807921e+01  3.13432973e+01  1.79998900e+02 
 5.65555523e+01  3.13432973e+01  1.79998874e+02 
 5.78597080e+01  3.13432973e+01  1.79998848e+02 
 5.91939372e+01  3.13432973e+01  1.79998822e+02 
 6.05589334e+01  3.13432973e+01  1.79998794e+02 
 6.19554061e+01  3.13432973e+01  1.79998767e+02 
 6.33840810e+01  3.13432973e+01  1.79998738e+02 
 6.48457008e+01  3.13432973e+01  1.79998709e+02 
 6.63410251e+01  3.13432973e+01  1.79998679e+02 
 6.78708313e+01  3.13432973e+01  1.79998649e+02 
 6.94359143e+01  3.13432973e+01  1.79998618e+02 
 7.10370877e+01  3.13432973e+01  1.79998586e+02 
 7.26751838e+01  3.13432973e+01  1.79998553e+02 
 7.43510539e+01  3.13432973e+01  1.79998520e+02 
 7.60655691e+01  3.13432973e+01  1.79998486e+02 
 7.78196206e+01  3.13432973e+01  1.79998451e+02 
 7.96141200e+01  3.13432973e+01  1.79998415e+02 
 8.14500001e+01  3.13432973e+01  1.79998379e+02 
 8.33282151e+01  3.13432973e+01  1.79998341e+02 
 8.52497412e+01  3.13432973e+01  1.79998303e+02 
 8.72155772e+01  3.13432973e+01  1.79998264e+02 
 8.92267449e+01  3.13432973e+01  1.79998224e+02 
 9.12842895e+01  3.13432973e+01  1.79998183e+02 
 9.33892805e+01  3.13432973e+01  1.79998141e+02 
 9.55428121e+01  3.13432973e+01  1.79998098e+02 
 9.77460036e+01  3.13432973e+01  1.79998054e+02 
 1.00000000e+02  3.13432973e+01  1.79998009e+02 
 1.02305973e+02  3.13432973e+01  1.79997963e+02 
 1.04665121e+02  3.13432973e+01  1.79997916e+02 
 1.07078670e+02  3.13432973e+01  1.79997868e+02 
 1.09547876e+02  3.13432973e+01  1.79997819e+02 
 1.12074020e+02  3.13432973e+01  1.79997769e+02 
 1.14658417e+02  3.13432973e+01  1.79997717e+02 
 1.17302409e+02  3.13432973e+01  1.79997665e+02 
 1.20007371e+02  3.13432973e+01  1.79997611e+02 
 1.22774708e+02  3.13432973e+01  1.79997556e+02 
 1.25605860e+02  3.13432973e+01  1.79997500e+02 
 1.28502297e+02  3.13432973e+01  1.79997442e+02 
 1.31465525e+02  3.13432973e+01  1.79997383e+02 
 1.34497085e+02  3.13432973e+01  1.79997323e+02 
 1.37598551e+02  3.13432973e+01  1.79997261e+02 
 1.40771537e+02  3.13432973e+01  1.79997198e+02 
 1.44017690e+02  3.13432973e+01  1.79997133e+02 
 1.47338699e+02  3.13432973e+01  1.79997067e+02 
 1.50736290e+02  3.13432973e+01  1.79996999e+02 
 1.54212228e+02  3.13432973e+01  1.79996930e+02 
 1.57768320e+02  3.13432973e+01  1.79996859e+02 
 1.61406415e+02  3.13432973e+01  1.79996787e+02 
 1.65128404e+02  3.13432973e+01  1.79996713e+02 
 1.68936220e+02  3.13432973e+01  1.79996637e+02 
 1.72831844e+02  3.13432973e+01  1.79996559e+02 
 1.76817299e+02  3.13432973e+01  1.79996480e+02 
 1.80894658e+02  3.13432973e+01  1.79996399e+02 
 1.85066040e+02  3.13432973e+01  1.79996316e+02 
 1.89333613e+02  3.13432973e+01  1.79996231e+02 
 1.93699595e+02  3.13432973e+01  1.79996144e+02 
 1.98166255e+02  3.13432973e+01  1.79996055e+02 
 2.02735916e+02  3.13432973e+01  1.79995964e+02 
 2.07410951e+02  3.13432973e+01  1.79995871e+02 
 2.12193792e+02  3.13432973e+01  1.79995776e+02 
 2.17086923e+02  3.13432973e+01  1.79995678e+02 
 2.22092889e+02  3.13432973e+01  1.79995579e+02 
 2.27214291e+02  3.13432973e+01  1.79995477e+02 
 2.32453791e+02  3.13432973e+01  1.79995373e+02 
 2.37814113e+02  3.13432973e+01  1.79995266e+02 
 2.43298042e+02  3.13432973e+01  1.79995157e+02 
 2.48908429e+02  3.13432973e+01  1.79995045e+02 
 2.54648190e+02  3.13432973e+01  1.79994931e+02 
 2.60520309e+02  3.13432973e+01  1.79994814e+02 
 2.66527837e+02  3.13432972e+01  1.79994694e+02 
 2.72673897e+02  3.13432972e+01  1.79994572e+02 
 2.78961683e+02  3.13432972e+01  1.79994447e+02 
 2.85394464e+02  3.13432972e+01  1.79994319e+02 
 2.91975583e+02  3.13432972e+01  1.79994188e+02 
 2.98708461e+02  3.13432972e+01  1.79994054e+02 
 3.05596598e+02  3.13432972e+01  1.79993916e+02 
 3.12643573e+02  3.13432972e+01  1.79993776e+02 
 3.19853049e+02  3.13432972e+01  1.79993633e+02 
 3.27228774e+02  3.13432972e+01  1.79993486e+02 
 3.34774581e+02  3.13432972e+01  1.79993336e+02 
 3.42494392e+02  3.13432972e+01  1.79993182e+02 
 3.50392221e+02  3.13432972e+01  1.79993025e+02 
 3.58472171e+02  3.13432972e+01  1.79992864e+02 
 3.66738442e+02  3.13432972e+01  1.79992699e+02 
 3.75195331e+02  3.13432972e+01  1.79992531e+02 
 3.83847234e+02  3.13432972e+01  1.79992359e+02 
 3.92698648e+02  3.13432972e+01  1.79992182e+02 
 4.01754173e+02  3.13432972e+01  1.79992002e+02 
 4.11018515e+02  3.13432972e+01  1.79991818e+02 
 4.20496491e+02  3.13432972e+01  1.79991629e+02 
 4.30193027e+02  3.13432972e+01  1.79991436e+02 
 4.40113162e+02  3.13432972e+01  1.79991239e+02 
 4.50262052e+02  3.13432972e+01  1.79991037e+02 
 4.60644974e+02  3.13432972e+01  1.79990830e+02 
 4.71267322e+02  3.13432972e+01  1.79990618e+02 
 4.82134619e+02  3.13432972e+01  1.79990402e+02 
 4.93252513e+02  3.13432972e+01  1.79990181e+02 
 5.04626783e+02  3.13432972e+01  1.79989954e+02 
 5.16263340e+02  3.13432971e+01  1.79989723e+02 
 5.28168234e+02  3.13432971e+01  1.79989486e+02 
 5.40347650e+02  3.13432971e+01  1.79989243e+02 
 5.52807921e+02  3.13432971e+01  1.79988995e+02 
 5.65555523e+02  3.13432971e+01  1.79988741e+02 
 5.78597080e+02  3.13432971e+01  1.79988482e+02 
 5.91939372e+02  3.13432971e+01  1.79988216e+02 
 6.05589334e+02  3.13432971e+01  1.79987944e+02 
 6.19554061e+02  3.13432971e+01  1.79987666e+02 
 6.33840810e+02  3.13432971e+01  1.79987382e+02 
 6.48457008e+02  3.13432971e+01  1.79987091e+02 
 6.63410251e+02  3.13432971e+01  1.79986793e+02 
 6.78708313e+02  3.13432970e+01  1.79986489e+02 
 6.94359143e+02  3.13432970e+01  1.79986177e+02 
 7.10370877e+02  3.13432970e+01  1.79985859e+02 
 7.26751838e+02  3.13432970e+01  1.79985532e+02 
 7.43510539e+02  3.13432970e+01  1.79985199e+02 
 7.60655691e+02  3.13432970e+01  1.79984858e+02 
 7.78196206e+02  3.13432970e+01  1.79984508e+02 
 7.96141200e+02  3.13432970e+01  1.79984151e+02 
 8.14500001e+02  3.13432969e+01  1.79983786e+02 
 8.33282151e+02  3.13432969e+01  1.79983412e+02 
